sample_id,pose,hair,modifier,seed,prompt,negative,model_id,preview_path,image_64_path,manual_keep,reject_reason
S011,three_quarter,blonde,,20261305,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, three-quarter view, head turned about 45 degrees, both eyes visible, blonde hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact front view, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S011.jpg,images_64/S011.png,,
S012,three_quarter,blonde,,20261306,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, three-quarter view, head turned about 45 degrees, both eyes visible, blonde hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact front view, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S012.jpg,images_64/S012.png,,
S013,three_quarter,blue,,20261405,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, three-quarter view, head turned about 45 degrees, both eyes visible, blue hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact front view, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S013.jpg,images_64/S013.png,,
S014,three_quarter,blue,,20261406,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, three-quarter view, head turned about 45 degrees, both eyes visible, blue hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact front view, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S014.jpg,images_64/S014.png,,
S015,three_quarter,silver,,20261505,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, three-quarter view, head turned about 45 degrees, both eyes visible, silver hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact front view, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S015.jpg,images_64/S015.png,,
S016,three_quarter,silver,,20261506,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, three-quarter view, head turned about 45 degrees, both eyes visible, silver hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact front view, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S016.jpg,images_64/S016.png,,
S017,front,black,,20261605,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, front view, facing viewer, looking at viewer, black hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact side profile, one eye, asymmetrical face, looking away, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S017.jpg,images_64/S017.png,,
S018,front,black,,20261606,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, front view, facing viewer, looking at viewer, black hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact side profile, one eye, asymmetrical face, looking away, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S018.jpg,images_64/S018.png,,
S019,front,purple,,20261705,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, front view, facing viewer, looking at viewer, purple hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact side profile, one eye, asymmetrical face, looking away, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S019.jpg,images_64/S019.png,,
S020,front,purple,,20261706,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, front view, facing viewer, looking at viewer, purple hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact side profile, one eye, asymmetrical face, looking away, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S020.jpg,images_64/S020.png,,
S021,front,blonde,,20261805,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, front view, facing viewer, looking at viewer, blonde hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact side profile, one eye, asymmetrical face, looking away, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S021.jpg,images_64/S021.png,,
S022,front,blonde,,20261806,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, front view, facing viewer, looking at viewer, blonde hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact side profile, one eye, asymmetrical face, looking away, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S022.jpg,images_64/S022.png,,
S023,profile,purple,"glasses, black-framed glasses",20261905,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, exact side profile, face turned 90 degrees, one eye, one ear, purple hair, glasses, black-framed glasses","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, front view, facing viewer, two eyes visible, symmetrical face, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S023.jpg,images_64/S023.png,,
S024,profile,purple,"glasses, black-framed glasses",20261906,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, exact side profile, face turned 90 degrees, one eye, one ear, purple hair, glasses, black-framed glasses","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, front view, facing viewer, two eyes visible, symmetrical face, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S024.jpg,images_64/S024.png,,
S025,three_quarter,silver,"glasses, black-framed glasses",20262005,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, three-quarter view, both eyes visible, silver hair, glasses, black-framed glasses","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact front view, symmetrical face, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S025.jpg,images_64/S025.png,,
S026,three_quarter,silver,"glasses, black-framed glasses",20262006,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, three-quarter view, both eyes visible, silver hair, glasses, black-framed glasses","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact front view, symmetrical face, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S026.jpg,images_64/S026.png,,
S027,profile,blonde,"closed eyes, eyelashes, serene expression",20262105,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, exact side profile, face turned 90 degrees, one eye, one ear, blonde hair, closed eyes, eyelashes, serene expression","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, front view, facing viewer, two eyes visible, symmetrical face, glasses, eyewear",cagliostrolab/animagine-xl-4.0,previews_256/S027.jpg,images_64/S027.png,,
S028,profile,blonde,"closed eyes, eyelashes, serene expression",20262106,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, exact side profile, face turned 90 degrees, one eye, one ear, blonde hair, closed eyes, eyelashes, serene expression","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, front view, facing viewer, two eyes visible, symmetrical face, glasses, eyewear",cagliostrolab/animagine-xl-4.0,previews_256/S028.jpg,images_64/S028.png,,
S029,three_quarter,purple,"open mouth, talking, teeth visible",20262205,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, three-quarter view, both eyes visible, purple hair, open mouth, talking, teeth visible","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact front view, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S029.jpg,images_64/S029.png,,
S030,three_quarter,purple,"open mouth, talking, teeth visible",20262206,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, three-quarter view, both eyes visible, purple hair, open mouth, talking, teeth visible","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact front view, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S030.jpg,images_64/S030.png,,
S031,three_quarter,silver,,20262305,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, looking up, from below, upper eyelid visible, visible nostrils, silver hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact front view, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S031.jpg,images_64/S031.png,,
S032,three_quarter,silver,,20262306,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, looking up, from below, upper eyelid visible, visible nostrils, silver hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact front view, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S032.jpg,images_64/S032.png,,
